PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30049995","Spotlight on Assistance Dogs-Legislation, Welfare and Research","Bremhorst A, Mongillo P, Howell T, Marinelli L.","Animals (Basel). 2018 Jul 26;8(8):129. doi: 10.3390/ani8080129.","Bremhorst A","Animals (Basel)","2018","2018/07/28","PMC6115927","","10.3390/ani8080129"
"32057313","Modeling Down syndrome in animals from the early stage to the 4.0 models and next","Muñiz Moreno MDM, Brault V, Birling MC, Pavlovic G, Herault Y.","Prog Brain Res. 2020;251:91-143. doi: 10.1016/bs.pbr.2019.08.001. Epub 2019 Oct 22.","Muñiz Moreno MDM","Prog Brain Res","2020","2020/02/15","","","10.1016/bs.pbr.2019.08.001"
"27687816","Upholding WAG/Rij rats as a model of absence epileptogenesis: Hidden mechanisms and a new theory on seizure development","Russo E, Citraro R, Constanti A, Leo A, Lüttjohann A, van Luijtelaar G, De Sarro G.","Neurosci Biobehav Rev. 2016 Dec;71:388-408. doi: 10.1016/j.neubiorev.2016.09.017. Epub 2016 Sep 26.","Russo E","Neurosci Biobehav Rev","2016","2016/11/07","","","10.1016/j.neubiorev.2016.09.017"
"32342465","Exercise and Parkinson's Disease","Bonavita S.","Adv Exp Med Biol. 2020;1228:289-301. doi: 10.1007/978-981-15-1792-1_19.","Bonavita S","Adv Exp Med Biol","2020","2020/04/29","","","10.1007/978-981-15-1792-1_19"
"29991042","Impact of Nutrition on Growth, Brain, and Cognition","Black MM.","Nestle Nutr Inst Workshop Ser. 2018;89:185-195. doi: 10.1159/000486502. Epub 2018 Jul 10.","Black MM","Nestle Nutr Inst Workshop Ser","2018","2018/07/11","","","10.1159/000486502"
"27239748","The emergence of reasoning by the disjunctive syllogism in early childhood","Mody S, Carey S.","Cognition. 2016 Sep;154:40-48. doi: 10.1016/j.cognition.2016.05.012. Epub 2016 May 28.","Mody S","Cognition","2016","2016/05/31","PMC4939102","NIHMS792121","10.1016/j.cognition.2016.05.012"
"31728502","Plant-Based Dietary Patterns, Plant Foods, and Age-Related Cognitive Decline","Rajaram S, Jones J, Lee GJ.","Adv Nutr. 2019 Nov 1;10(Suppl_4):S422-S436. doi: 10.1093/advances/nmz081.","Rajaram S","Adv Nutr","2019","2019/11/16","PMC6855948","","10.1093/advances/nmz081"
"28602652","Domestication Does Not Explain the Presence of Inequity Aversion in Dogs","Essler JL, Marshall-Pescini S, Range F.","Curr Biol. 2017 Jun 19;27(12):1861-1865.e3. doi: 10.1016/j.cub.2017.05.061. Epub 2017 Jun 8.","Essler JL","Curr Biol","2017","2017/06/13","PMC6201826","EMS74668","10.1016/j.cub.2017.05.061"
"27418439","A novel role for the immunophilin FKBP52 in motor coordination","Young MJ, Geiszler PC, Pardon MC.","Behav Brain Res. 2016 Oct 15;313:97-110. doi: 10.1016/j.bbr.2016.07.015. Epub 2016 Jul 11.","Young MJ","Behav Brain Res","2016","2016/07/16","","","10.1016/j.bbr.2016.07.015"
"31077757","The impact of early structural enrichment on spatial cognition in layer chicks","Norman KI, Adriaense JEC, Nicol CJ.","Behav Processes. 2019 Jul;164:167-174. doi: 10.1016/j.beproc.2019.05.008. Epub 2019 May 8.","Norman KI","Behav Processes","2019","2019/05/12","","","10.1016/j.beproc.2019.05.008"
"30692517","High cholesterol triggers white matter alterations and cognitive deficits in a mouse model of cerebrovascular disease: benefits of simvastatin","Tong XK, Trigiani LJ, Hamel E.","Cell Death Dis. 2019 Jan 28;10(2):89. doi: 10.1038/s41419-018-1199-0.","Tong XK","Cell Death Dis","2019","2019/01/30","PMC6349936","","10.1038/s41419-018-1199-0"
"30379702","Mild, moderate and severe: terminology implications for clinical and experimental traumatic brain injury","Yamamoto S, Levin HS, Prough DS.","Curr Opin Neurol. 2018 Dec;31(6):672-680. doi: 10.1097/WCO.0000000000000624.","Yamamoto S","Curr Opin Neurol","2018","2018/11/01","","","10.1097/WCO.0000000000000624"
"30091414","Advances in Discovery of PDE10A Inhibitors for CNS-Related Disorders. Part 1: Overview of the Chemical and Biological Research","Jankowska A, Świerczek A, Wyska E, Gawalska A, Bucki A, Pawłowski M, Chłoń-Rzepa G.","Curr Drug Targets. 2019;20(1):122-143. doi: 10.2174/1389450119666180808105056.","Jankowska A","Curr Drug Targets","2019","2018/08/10","","","10.2174/1389450119666180808105056"
"28577278","ARENA 2.0: The next generation automated remote environmental navigation apparatus to facilitate cross-species comparisons in behavior and cognition","Schroeder J, Garlick D, Blaisdell AP.","Behav Res Methods. 2018 Apr;50(2):773-785. doi: 10.3758/s13428-017-0904-8.","Schroeder J","Behav Res Methods","2018","2017/06/04","","","10.3758/s13428-017-0904-8"
"27761311","Judgement bias in goats (Capra hircus): investigating the effects of human grooming","Baciadonna L, Nawroth C, McElligott AG.","PeerJ. 2016 Oct 13;4:e2485. doi: 10.7717/peerj.2485. eCollection 2016.","Baciadonna L","PeerJ","2016","2016/10/21","PMC5068416","","10.7717/peerj.2485"
"27122637","A problem with problem solving: motivational traits, but not cognition, predict success on novel operant foraging tasks","van Horik JO, Madden JR.","Anim Behav. 2016 Apr;114:189-198. doi: 10.1016/j.anbehav.2016.02.006.","van Horik JO","Anim Behav","2016","2016/04/29","PMC4833691","","10.1016/j.anbehav.2016.02.006"
"31049786","The Effects of Brain Tumours upon Medical Decision-Making Capacity","Hewins W, Zienius K, Rogers JL, Kerrigan S, Bernstein M, Grant R.","Curr Oncol Rep. 2019 May 2;21(6):55. doi: 10.1007/s11912-019-0793-3.","Hewins W","Curr Oncol Rep","2019","2019/05/04","PMC6495430","","10.1007/s11912-019-0793-3"
"27288239","Experience-dependent reduction of soluble β-amyloid oligomers and rescue of cognitive abilities in middle-age Ts65Dn mice, a model of Down syndrome","Sansevero G, Begenisic T, Mainardi M, Sale A.","Exp Neurol. 2016 Sep;283(Pt A):49-56. doi: 10.1016/j.expneurol.2016.06.006. Epub 2016 Jun 7.","Sansevero G","Exp Neurol","2016","2016/06/12","","","10.1016/j.expneurol.2016.06.006"
"29168580","Resveratrol, pterostilbene, and dementia","Lange KW, Li S.","Biofactors. 2018 Jan;44(1):83-90. doi: 10.1002/biof.1396. Epub 2017 Nov 23.","Lange KW","Biofactors","2018","2017/11/24","","","10.1002/biof.1396"
"28062214","In utero exposure to atypical antipsychotic drug, risperidone: Effects on fetal neurotoxicity in hippocampal region and cognitive impairment in rat offspring","Singh KP, Singh MK.","Prog Neuropsychopharmacol Biol Psychiatry. 2017 Apr 3;75:35-44. doi: 10.1016/j.pnpbp.2016.12.006. Epub 2017 Jan 4.","Singh KP","Prog Neuropsychopharmacol Biol Psychiatry","2017","2017/01/08","","","10.1016/j.pnpbp.2016.12.006"
"30031059","Specific deletion connexin43 in astrocyte ameliorates cognitive dysfunction in APP/PS1 mice","Ren R, Zhang L, Wang M.","Life Sci. 2018 Sep 1;208:175-191. doi: 10.1016/j.lfs.2018.07.033. Epub 2018 Jul 19.","Ren R","Life Sci","2018","2018/07/22","","","10.1016/j.lfs.2018.07.033"
"28435996","Cognitive Effects of Air Pollution Exposures and Potential Mechanistic Underpinnings","Allen JL, Klocke C, Morris-Schaffer K, Conrad K, Sobolewski M, Cory-Slechta DA.","Curr Environ Health Rep. 2017 Jun;4(2):180-191. doi: 10.1007/s40572-017-0134-3.","Allen JL","Curr Environ Health Rep","2017","2017/04/25","PMC5499513","NIHMS870736","10.1007/s40572-017-0134-3"
"28239165","Antihypertensive agents do not prevent blood-brain barrier dysfunction and cognitive deficits in dietary-induced obese mice","Mamo JCL, Lam V, Giles C, Coulson SH, Fimognari N, Mooranian A, Al-Salami H, Takechi R.","Int J Obes (Lond). 2017 Jun;41(6):926-934. doi: 10.1038/ijo.2017.57. Epub 2017 Feb 27.","Mamo JCL","Int J Obes (Lond)","2017","2017/02/28","","","10.1038/ijo.2017.57"
"27517611","Cognition and Synaptic-Plasticity Related Changes in Aged Rats Supplemented with 8- and 10-Carbon Medium Chain Triglycerides","Wang D, Mitchell ES.","PLoS One. 2016 Aug 12;11(8):e0160159. doi: 10.1371/journal.pone.0160159. eCollection 2016.","Wang D","PLoS One","2016","2016/08/13","PMC4982641","","10.1371/journal.pone.0160159"
"26306824","Learning performances and vulnerability to amyloid toxicity in the butyrylcholinesterase knockout mouse","Maurice T, Strehaiano M, Siméon N, Bertrand C, Chatonnet A.","Behav Brain Res. 2016 Jan 1;296:351-360. doi: 10.1016/j.bbr.2015.08.026. Epub 2015 Aug 22.","Maurice T","Behav Brain Res","2016","2015/08/27","","","10.1016/j.bbr.2015.08.026"
"28963121","Animal models of cerebral amyloid angiopathy","Jäkel L, Van Nostrand WE, Nicoll JAR, Werring DJ, Verbeek MM.","Clin Sci (Lond). 2017 Sep 28;131(19):2469-2488. doi: 10.1042/CS20170033. Print 2017 Oct 15.","Jäkel L","Clin Sci (Lond)","2017","2017/10/01","","","10.1042/CS20170033"
"27510202","US agency to lift ban on funding human-animal hybrids","Reardon S.","Nature. 2016 Aug 11;536(7615):135. doi: 10.1038/nature.2016.20379.","Reardon S","Nature","2016","2016/08/12","","","10.1038/nature.2016.20379"
"31466555","Effects of Soy in Laboratory Rodent Diets on the Basal, Affective, and Cognitive Behavior of C57BL/6 Mice","Mallien AS, Soukup ST, Pfeiffer N, Brandwein C, Kulling SE, Chourbaji S, Gass P.","J Am Assoc Lab Anim Sci. 2019 Sep 1;58(5):532-541. doi: 10.30802/AALAS-JAALAS-18-000129. Epub 2019 Aug 29.","Mallien AS","J Am Assoc Lab Anim Sci","2019","2019/08/31","PMC6774457","","10.30802/AALAS-JAALAS-18-000129"
"31325518","Sleep architecture changes in the APP23 mouse model manifest at onset of cognitive deficits","Van Erum J, Van Dam D, Sheorajpanday R, De Deyn PP.","Behav Brain Res. 2019 Nov 5;373:112089. doi: 10.1016/j.bbr.2019.112089. Epub 2019 Jul 17.","Van Erum J","Behav Brain Res","2019","2019/07/21","","","10.1016/j.bbr.2019.112089"
"29439368","Systemic administration of donepezil attenuates the efficacy of environmental enrichment on neurobehavioral outcome after experimental traumatic brain injury","Bondi CO, Yelleswarapu NK, Day-Cooney J, Memarzadeh K, Folweiler KA, Bou-Abboud CE, Leary JB, Cheng JP, Tehranian-DePasquale R, Kline AE.","Restor Neurol Neurosci. 2018;36(1):45-57. doi: 10.3233/RNN-170781.","Bondi CO","Restor Neurol Neurosci","2018","2018/02/15","","","10.3233/RNN-170781"
"28526126","Number Faculty Is Rooted in Our Biological Heritage","Nieder A.","Trends Cogn Sci. 2017 Jun;21(6):403-404. doi: 10.1016/j.tics.2017.03.014.","Nieder A","Trends Cogn Sci","2017","2017/05/21","","","10.1016/j.tics.2017.03.014"
"27461792","Tongluo Xingnao Effervescent Tablet preserves mitochondrial energy metabolism and attenuates cognition deficits in APPswe/PS1De9 mice","Dai Y, Ma T, Ren X, Wei J, Fu W, Ma Y, Xu S, Zhang Z.","Neurosci Lett. 2016 Sep 6;630:101-108. doi: 10.1016/j.neulet.2016.07.044. Epub 2016 Jul 25.","Dai Y","Neurosci Lett","2016","2016/07/28","","","10.1016/j.neulet.2016.07.044"
"28017679","Metformin protects the brain against ischemia/reperfusion injury through PI3K/Akt1/JNK3 signaling pathways in rats","Ge XH, Zhu GJ, Geng DQ, Zhang HZ, He JM, Guo AZ, Ma LL, Yu DH.","Physiol Behav. 2017 Mar 1;170:115-123. doi: 10.1016/j.physbeh.2016.12.021. Epub 2016 Dec 23.","Ge XH","Physiol Behav","2017","2016/12/27","","","10.1016/j.physbeh.2016.12.021"
"31546114","Raloxifene recovers effects of prenatal immune activation on cognitive task-induced gamma power","Schroeder A, Nakamura JP, Hudson M, Jones NC, Du X, Sundram S, Hill RA.","Psychoneuroendocrinology. 2019 Dec;110:104448. doi: 10.1016/j.psyneuen.2019.104448. Epub 2019 Sep 16.","Schroeder A","Psychoneuroendocrinology","2019","2019/09/24","","","10.1016/j.psyneuen.2019.104448"
"32393757","Interneuron hypomyelination is associated with cognitive inflexibility in a rat model of schizophrenia","Maas DA, Eijsink VD, Spoelder M, van Hulten JA, De Weerd P, Homberg JR, Vallès A, Nait-Oumesmar B, Martens GJM.","Nat Commun. 2020 May 11;11(1):2329. doi: 10.1038/s41467-020-16218-4.","Maas DA","Nat Commun","2020","2020/05/13","PMC7214427","","10.1038/s41467-020-16218-4"
"29795651","Functional disruption of stress modulatory circuits in a model of temporal lobe epilepsy","Wulsin AC, Franco-Villanueva A, Romancheck C, Morano RL, Smith BL, Packard BA, Danzer SC, Herman JP.","PLoS One. 2018 May 24;13(5):e0197955. doi: 10.1371/journal.pone.0197955. eCollection 2018.","Wulsin AC","PLoS One","2018","2018/05/26","PMC5993058","","10.1371/journal.pone.0197955"
"29175423","Tropisetron enhances recognition memory in rats chronically treated with risperidone or quetiapine","Poddar I, Callahan PM, Hernandez CM, Yang X, Bartlett MG, Terry AV Jr.","Biochem Pharmacol. 2018 May;151:180-187. doi: 10.1016/j.bcp.2017.11.017. Epub 2017 Nov 24.","Poddar I","Biochem Pharmacol","2018","2017/11/28","PMC6567993","NIHMS926520","10.1016/j.bcp.2017.11.017"
"32789987","The impact of in-person and video-recorded animal experiences on zoo visitors' cognition, affect, empathic concern, and conservation intent","Miller LJ, Luebke JF, Matiasek J, Granger DA, Razal C, Brooks HJB, Maas K.","Zoo Biol. 2020 Nov;39(6):367-373. doi: 10.1002/zoo.21565. Epub 2020 Aug 13.","Miller LJ","Zoo Biol","2020","2020/08/14","","","10.1002/zoo.21565"
"27397902","MiR-214-3p attenuates cognition defects via the inhibition of autophagy in SAMP8 mouse model of sporadic Alzheimer's disease","Zhang Y, Li Q, Liu C, Gao S, Ping H, Wang J, Wang P.","Neurotoxicology. 2016 Sep;56:139-149. doi: 10.1016/j.neuro.2016.07.004. Epub 2016 Jul 7.","Zhang Y","Neurotoxicology","2016","2016/07/12","","","10.1016/j.neuro.2016.07.004"
"31614692","Hydroxytyrosol, the Major Phenolic Compound of Olive Oil, as an Acute Therapeutic Strategy after Ischemic Stroke","Calahorra J, Shenk J, Wielenga VH, Verweij V, Geenen B, Dederen PJ, Peinado MÁ, Siles E, Wiesmann M, Kiliaan AJ.","Nutrients. 2019 Oct 11;11(10):2430. doi: 10.3390/nu11102430.","Calahorra J","Nutrients","2019","2019/10/17","PMC6836045","","10.3390/nu11102430"
"28823507","Home-cage anxiety levels in a transgenic rat model for Spinocerebellar ataxia type 17 measured by an approach-avoidance task: The light spot test","Kyriakou EI, Nguyen HP, Homberg JR, Van der Harst JE.","J Neurosci Methods. 2018 Apr 15;300:48-58. doi: 10.1016/j.jneumeth.2017.08.012. Epub 2017 Aug 18.","Kyriakou EI","J Neurosci Methods","2018","2017/08/22","","","10.1016/j.jneumeth.2017.08.012"
"30944661","Traumatic Brain Injury by Weight-Drop Method Causes Transient Amyloid-β Deposition and Acute Cognitive Deficits in Mice","Shishido H, Ueno M, Sato K, Matsumura M, Toyota Y, Kirino Y, Tamiya T, Kawai N, Kishimoto Y.","Behav Neurol. 2019 Mar 3;2019:3248519. doi: 10.1155/2019/3248519. eCollection 2019.","Shishido H","Behav Neurol","2019","2019/04/05","PMC6421814","","10.1155/2019/3248519"
"27194300","Loss of Transient Receptor Potential Ankyrin 1 Channel Deregulates Emotion, Learning and Memory, Cognition, and Social Behavior in Mice","Lee KI, Lin HC, Lee HT, Tsai FC, Lee TS.","Mol Neurobiol. 2017 Jul;54(5):3606-3617. doi: 10.1007/s12035-016-9908-0. Epub 2016 May 19.","Lee KI","Mol Neurobiol","2017","2016/05/20","","","10.1007/s12035-016-9908-0"
"30352692","A novel task to assess mood congruent memory bias in non-human animals","Burman OHP, Mendl MT.","J Neurosci Methods. 2018 Oct 1;308:269-275. doi: 10.1016/j.jneumeth.2018.07.003. Epub 2018 Jul 6.","Burman OHP","J Neurosci Methods","2018","2018/10/25","","","10.1016/j.jneumeth.2018.07.003"
"27013283","Modeling menopause: The utility of rodents in translational behavioral endocrinology research","Koebele SV, Bimonte-Nelson HA.","Maturitas. 2016 May;87:5-17. doi: 10.1016/j.maturitas.2016.01.015. Epub 2016 Feb 3.","Koebele SV","Maturitas","2016","2016/03/26","PMC4829404","NIHMS762065","10.1016/j.maturitas.2016.01.015"
"32181561","Cognition and hospitalizations are linked with salivary and faecal microbiota in cirrhosis cohorts from the USA and Mexico","Bajaj JS, Torre A, Rojas ML, Fagan A, Nandez IE, Gavis EA, De Leon Osorio O, White MB, Fuchs M, Sikaroodi M, Gillevet PM.","Liver Int. 2020 Jun;40(6):1395-1407. doi: 10.1111/liv.14437. Epub 2020 Apr 1.","Bajaj JS","Liver Int","2020","2020/03/18","","","10.1111/liv.14437"
"30986492","Investigating the reciprocal relationships between locomotor sensitization to ethanol and PTSD-like clusters in DBA/2J mice","Matonda-Ma-Nzuzi T, Didone V, Seutin V, Tirelli E, Quertemont E.","Behav Brain Res. 2019 Aug 5;368:111909. doi: 10.1016/j.bbr.2019.111909. Epub 2019 Apr 12.","Matonda-Ma-Nzuzi T","Behav Brain Res","2019","2019/04/16","","","10.1016/j.bbr.2019.111909"
"31108570","Self-control in crows, parrots and nonhuman primates","Miller R, Boeckle M, Jelbert SA, Frohnwieser A, Wascher CAF, Clayton NS.","Wiley Interdiscip Rev Cogn Sci. 2019 Nov;10(6):e1504. doi: 10.1002/wcs.1504. Epub 2019 May 20.","Miller R","Wiley Interdiscip Rev Cogn Sci","2019","2019/05/21","PMC6852083","","10.1002/wcs.1504"
"33545431","The relationship between cannabis use and cognition in people with bipolar disorder: A systematic scoping review","Jordan Walter T, Pocuca N, Young JW, Geyer MA, Minassian A, Perry W.","Psychiatry Res. 2021 Mar;297:113695. doi: 10.1016/j.psychres.2020.113695. Epub 2020 Dec 29.","Jordan Walter T","Psychiatry Res","2021","2021/02/05","PMC7914198","NIHMS1666818","10.1016/j.psychres.2020.113695"
"31207876","Bovine Milk Oligosaccharides with Sialyllactose Improves Cognition in Preterm Pigs","Obelitz-Ryom K, Bering SB, Overgaard SH, Eskildsen SF, Ringgaard S, Olesen JL, Skovgaard K, Pankratova S, Wang B, Brunse A, Heckmann AB, Rydal MP, Sangild PT, Thymann T.","Nutrients. 2019 Jun 14;11(6):1335. doi: 10.3390/nu11061335.","Obelitz-Ryom K","Nutrients","2019","2019/06/19","PMC6628371","","10.3390/nu11061335"
"30826298","Cognitive and neuropsychiatric impairments vary as a function of injury severity at 12 months post-experimental diffuse traumatic brain injury: Implications for dementia development","Arulsamy A, Corrigan F, Collins-Praino LE.","Behav Brain Res. 2019 Jun 3;365:66-76. doi: 10.1016/j.bbr.2019.02.045. Epub 2019 Feb 28.","Arulsamy A","Behav Brain Res","2019","2019/03/04","","","10.1016/j.bbr.2019.02.045"
"30510619","Effects of Long-Term Treatment with a Blend of Highly Purified Olive Secoiridoids on Cognition and Brain ATP Levels in Aged NMRI Mice","Reutzel M, Grewal R, Silaidos C, Zotzel J, Marx S, Tretzel J, Eckert GP.","Oxid Med Cell Longev. 2018 Oct 30;2018:4070935. doi: 10.1155/2018/4070935. eCollection 2018.","Reutzel M","Oxid Med Cell Longev","2018","2018/12/05","PMC6232801","","10.1155/2018/4070935"
"28623171","Broad analgesic activity of a novel, selective M1 agonist","Wood MW, Martino G, Coupal M, Lindberg M, Schroeder P, Santhakumar V, Valiquette M, Sandin J, Widzowski D, Laird J.","Neuropharmacology. 2017 Sep 1;123:233-241. doi: 10.1016/j.neuropharm.2017.06.010. Epub 2017 Jun 13.","Wood MW","Neuropharmacology","2017","2017/06/18","","","10.1016/j.neuropharm.2017.06.010"
"30738106","Effective chair training methods for neuroscience research involving rhesus macaques (Macaca mulatta)","Mason S, Premereur E, Pelekanos V, Emberton A, Honess P, Mitchell AS.","J Neurosci Methods. 2019 Apr 1;317:82-93. doi: 10.1016/j.jneumeth.2019.02.001. Epub 2019 Feb 6.","Mason S","J Neurosci Methods","2019","2019/02/10","PMC6401980","","10.1016/j.jneumeth.2019.02.001"
"28221077","Stanley (Stan) Kuczaj II (1950-2016)","Vonk J.","Am Psychol. 2017 Feb-Mar;72(2):186. doi: 10.1037/amp0000037.","Vonk J","Am Psychol","2017","2017/02/22","","","10.1037/amp0000037"
"30312626","Disturbances of sleep quality, timing and structure and their relationship with other neuropsychiatric symptoms in Alzheimer's disease and schizophrenia: Insights from studies in patient populations and animal models","Winsky-Sommerer R, de Oliveira P, Loomis S, Wafford K, Dijk DJ, Gilmour G.","Neurosci Biobehav Rev. 2019 Feb;97:112-137. doi: 10.1016/j.neubiorev.2018.09.027. Epub 2018 Oct 9.","Winsky-Sommerer R","Neurosci Biobehav Rev","2019","2018/10/13","","","10.1016/j.neubiorev.2018.09.027"
"33120961","Probiotics Treatment Improves Hippocampal Dependent Cognition in a Rodent Model of Parkinson's Disease","Xie C, Prasad AA.","Microorganisms. 2020 Oct 27;8(11):1661. doi: 10.3390/microorganisms8111661.","Xie C","Microorganisms","2020","2020/10/30","PMC7692862","","10.3390/microorganisms8111661"
"30955080","Chemotherapy and cognition: comprehensive review on doxorubicin-induced chemobrain","El-Agamy SE, Abdel-Aziz AK, Esmat A, Azab SS.","Cancer Chemother Pharmacol. 2019 Jul;84(1):1-14. doi: 10.1007/s00280-019-03827-0. Epub 2019 Apr 6.","El-Agamy SE","Cancer Chemother Pharmacol","2019","2019/04/08","","","10.1007/s00280-019-03827-0"
"29382564","Diabetic cognitive dysfunction is associated with increased bile acids in liver and activation of bile acid signaling in intestine","Wang X, Wang F, Zhang Y, Xiong H, Zhang Y, Zhuang P, Zhang Y.","Toxicol Lett. 2018 May 1;287:10-22. doi: 10.1016/j.toxlet.2018.01.006. Epub 2018 Jan 31.","Wang X","Toxicol Lett","2018","2018/02/01","","","10.1016/j.toxlet.2018.01.006"
"27388330","Genotype-Dependent Effects of COMT Inhibition on Cognitive Function in a Highly Specific, Novel Mouse Model of Altered COMT Activity","Barkus C, Korn C, Stumpenhorst K, Laatikainen LM, Ballard D, Lee S, Sharp T, Harrison PJ, Bannerman DM, Weinberger DR, Chen J, Tunbridge EM.","Neuropsychopharmacology. 2016 Dec;41(13):3060-3069. doi: 10.1038/npp.2016.119. Epub 2016 Jul 8.","Barkus C","Neuropsychopharmacology","2016","2016/07/09","PMC5101554","","10.1038/npp.2016.119"
"28787605","Spatial Cognition: Grid Cells Harbour Three Complementary Positional Codes","Stemmler M, Herz AVM.","Curr Biol. 2017 Aug 7;27(15):R755-R758. doi: 10.1016/j.cub.2017.06.067.","Stemmler M","Curr Biol","2017","2017/08/09","","","10.1016/j.cub.2017.06.067"
"30553935","When humans behave like monkeys: Feedback delays and extensive practice increase the efficiency of speeded decisions","Evans NJ, Hawkins GE.","Cognition. 2019 Mar;184:11-18. doi: 10.1016/j.cognition.2018.11.014. Epub 2018 Dec 13.","Evans NJ","Cognition","2019","2018/12/17","","","10.1016/j.cognition.2018.11.014"
"29292357","Towards numerical cognition's origin: insights from day-old domestic chicks","Rugani R.","Philos Trans R Soc Lond B Biol Sci. 2017 Feb 19;373(1740):20160509. doi: 10.1098/rstb.2016.0509.","Rugani R","Philos Trans R Soc Lond B Biol Sci","2017","2018/01/03","PMC5784037","","10.1098/rstb.2016.0509"
"29105546","The effects of adjunctive intranasal oxytocin in patients with schizophrenia","Ota M, Yoshida S, Nakata M, Yada T, Kunugi H.","Postgrad Med. 2018 Jan;130(1):122-128. doi: 10.1080/00325481.2018.1398592. Epub 2017 Nov 6.","Ota M","Postgrad Med","2018","2017/11/07","","","10.1080/00325481.2018.1398592"
"28375680","Electroacupuncture Improves Cognitive Function and Hippocampal Neurogenesis after Brain Irradiation","Fan XW, Liu HH, Wang HB, Chen F, Yang Y, Chen Y, Guan SK, Wu KL.","Radiat Res. 2017 Jun;187(6):672-681. doi: 10.1667/RR14561.1. Epub 2017 Apr 4.","Fan XW","Radiat Res","2017","2017/04/05","","","10.1667/RR14561.1"
"28286283","Prior fear conditioning does not impede enhanced active avoidance in serotonin transporter knockout rats","Schipper P, Henckens MJAG, Borghans B, Hiemstra M, Kozicz T, Homberg JR.","Behav Brain Res. 2017 May 30;326:77-86. doi: 10.1016/j.bbr.2017.02.044. Epub 2017 Mar 7.","Schipper P","Behav Brain Res","2017","2017/03/14","","","10.1016/j.bbr.2017.02.044"
"30753885","Self-organizing conflicts: Group assessment and the spatio-temporal dynamics of ant territory battles","Adams ES, Plowes NJR.","Behav Processes. 2019 May;162:119-129. doi: 10.1016/j.beproc.2019.01.009. Epub 2019 Feb 10.","Adams ES","Behav Processes","2019","2019/02/13","","","10.1016/j.beproc.2019.01.009"
"32931805","Psychological mechanisms and functions of 5-HT and SSRIs in potential therapeutic change: Lessons from the serotonergic modulation of action selection, learning, affect, and social cognition","Roberts C, Sahakian BJ, Robbins TW.","Neurosci Biobehav Rev. 2020 Dec;119:138-167. doi: 10.1016/j.neubiorev.2020.09.001. Epub 2020 Sep 12.","Roberts C","Neurosci Biobehav Rev","2020","2020/09/15","","","10.1016/j.neubiorev.2020.09.001"
"28803147","Ovarian hormones, sleep and cognition across the adult female lifespan: An integrated perspective","Gervais NJ, Mong JA, Lacreuse A.","Front Neuroendocrinol. 2017 Oct;47:134-153. doi: 10.1016/j.yfrne.2017.08.002. Epub 2017 Aug 9.","Gervais NJ","Front Neuroendocrinol","2017","2017/08/14","PMC7597864","NIHMS1636689","10.1016/j.yfrne.2017.08.002"
"28892143","Rodent Test of Attention and Impulsivity: The 5-Choice Serial Reaction Time Task","Higgins GA, Silenieks LB.","Curr Protoc Pharmacol. 2017 Sep 11;78:5.49.1-5.49.34. doi: 10.1002/cpph.27.","Higgins GA","Curr Protoc Pharmacol","2017","2017/09/12","","","10.1002/cpph.27"
"27773691","Meaning, intention, and inference in primate vocal communication","Fischer J, Price T.","Neurosci Biobehav Rev. 2017 Nov;82:22-31. doi: 10.1016/j.neubiorev.2016.10.014. Epub 2016 Oct 20.","Fischer J","Neurosci Biobehav Rev","2017","2016/10/25","","","10.1016/j.neubiorev.2016.10.014"
"27618545","Psychological correlates of habitual diet in healthy adults","Stevenson RJ.","Psychol Bull. 2017 Jan;143(1):53-90. doi: 10.1037/bul0000065. Epub 2016 Sep 12.","Stevenson RJ","Psychol Bull","2017","2016/09/13","","","10.1037/bul0000065"
"32534901","Parting self from others: Individual and self-recognition in birds","Brecht KF, Nieder A.","Neurosci Biobehav Rev. 2020 Sep;116:99-108. doi: 10.1016/j.neubiorev.2020.06.012. Epub 2020 Jun 11.","Brecht KF","Neurosci Biobehav Rev","2020","2020/06/15","","","10.1016/j.neubiorev.2020.06.012"
"30775940","Why have transgenic rodent models failed to successfully mimic Alzheimer's disease. How can we develop effective drugs without them?","Franco R, Martínez-Pinilla E, Navarro G.","Expert Opin Drug Discov. 2019 Apr;14(4):327-330. doi: 10.1080/17460441.2019.1581169. Epub 2019 Feb 18.","Franco R","Expert Opin Drug Discov","2019","2019/02/19","","","10.1080/17460441.2019.1581169"
"27060755","Determinants of the mouse ultrasonic vocal structure and repertoire","Heckman J, McGuinness B, Celikel T, Englitz B.","Neurosci Biobehav Rev. 2016 Jun;65:313-25. doi: 10.1016/j.neubiorev.2016.03.029. Epub 2016 Apr 7.","Heckman J","Neurosci Biobehav Rev","2016","2016/04/10","","","10.1016/j.neubiorev.2016.03.029"
"31510756","Gender Differences in the Association Between Hearing Loss and Cognitive Function","Huang B, Cao G, Duan Y, Yan S, Yan M, Yin P, Jiang H.","Am J Alzheimers Dis Other Demen. 2020 Jan-Dec;35:1533317519871167. doi: 10.1177/1533317519871167. Epub 2019 Sep 11.","Huang B","Am J Alzheimers Dis Other Demen","2020","2019/09/13","","","10.1177/1533317519871167"
