PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26809838","Revisiting adult neurogenesis and the role of erythropoietin for neuronal and oligodendroglial differentiation in the hippocampus","Hassouna I, Ott C, Wüstefeld L, Offen N, Neher RA, Mitkovski M, Winkler D, Sperling S, Fries L, Goebbels S, Vreja IC, Hagemeyer N, Dittrich M, Rossetti MF, Kröhnert K, Hannke K, Boretius S, Zeug A, Höschen C, Dandekar T, Dere E, Neher E, Rizzoli SO, Nave KA, Sirén AL, Ehrenreich H.","Mol Psychiatry. 2016 Dec;21(12):1752-1767. doi: 10.1038/mp.2015.212. Epub 2016 Jan 26.","Hassouna I","Mol Psychiatry","2016","2016/01/27","PMC5193535","","10.1038/mp.2015.212"
"31549268","Chimpanzees use observed temporal directionality to learn novel causal relations","Tennie C, Völter CJ, Vonau V, Hanus D, Call J, Tomasello M.","Primates. 2019 Nov;60(6):517-524. doi: 10.1007/s10329-019-00754-9. Epub 2019 Sep 23.","Tennie C","Primates","2019","2019/09/25","PMC6858906","","10.1007/s10329-019-00754-9"
"30252982","The effects of living in an outdoor enclosure on hippocampal plasticity and anxiety-like behavior in response to nematode infection","Cope EC, Opendak M, LaMarca EA, Murthy S, Park CY, Olson LB, Martinez S, Leung JM, Graham AL, Gould E.","Hippocampus. 2019 Apr;29(4):366-377. doi: 10.1002/hipo.23033. Epub 2018 Nov 22.","Cope EC","Hippocampus","2019","2018/09/26","PMC6464387","NIHMS1020550","10.1002/hipo.23033"
"30209226","Parent-offspring facial resemblance increases with age in rhesus macaques","Kazem AJN, Barth Y, Pfefferle D, Kulik L, Widdig A.","Proc Biol Sci. 2018 Sep 12;285(1886):20181208. doi: 10.1098/rspb.2018.1208.","Kazem AJN","Proc Biol Sci","2018","2018/09/14","PMC6158521","","10.1098/rspb.2018.1208"
"28840405","Cooperative problem solving in giant otters (Pteronura brasiliensis) and Asian small-clawed otters (Aonyx cinerea)","Schmelz M, Duguid S, Bohn M, Völter CJ.","Anim Cogn. 2017 Nov;20(6):1107-1114. doi: 10.1007/s10071-017-1126-2. Epub 2017 Aug 24.","Schmelz M","Anim Cogn","2017","2017/08/26","PMC5640742","","10.1007/s10071-017-1126-2"
"28074253","c-Abl inhibition mitigates diet-induced obesity through improving insulin sensitivity of subcutaneous fat in mice","Wu R, Sun JG, Wang JQ, Li B, Liu Q, Ning G, Jin W, Yuan Z.","Diabetologia. 2017 May;60(5):900-910. doi: 10.1007/s00125-016-4202-2. Epub 2017 Jan 10.","Wu R","Diabetologia","2017","2017/01/12","","","10.1007/s00125-016-4202-2"
"30305440","Wild chimpanzees select tool material based on efficiency and knowledge","Lamon N, Neumann C, Gier J, Zuberbühler K, Gruber T.","Proc Biol Sci. 2018 Oct 10;285(1888):20181715. doi: 10.1098/rspb.2018.1715.","Lamon N","Proc Biol Sci","2018","2018/10/12","PMC6191692","","10.1098/rspb.2018.1715"
"29263233","Hippocampal extracellular matrix alterations contribute to cognitive impairment associated with a chronic depressive-like state in rats","Riga D, Kramvis I, Koskinen MK, van Bokhoven P, van der Harst JE, Heistek TS, Jaap Timmerman A, van Nierop P, van der Schors RC, Pieneman AW, de Weger A, van Mourik Y, Schoffelmeer ANM, Mansvelder HD, Meredith RM, Hoogendijk WJG, Smit AB, Spijker S.","Sci Transl Med. 2017 Dec 20;9(421):eaai8753. doi: 10.1126/scitranslmed.aai8753.","Riga D","Sci Transl Med","2017","2017/12/22","","","10.1126/scitranslmed.aai8753"
"28224045","DJ-1 maintains energy and glucose homeostasis by regulating the function of brown adipose tissue","Wu R, Liu XM, Sun JG, Chen H, Ma J, Dong M, Peng S, Wang JQ, Ding JQ, Li DH, Speakman JR, Ning G, Jin W, Yuan Z.","Cell Discov. 2017 Feb 14;3:16054. doi: 10.1038/celldisc.2016.54. eCollection 2017.","Wu R","Cell Discov","2017","2017/02/23","PMC5309696","","10.1038/celldisc.2016.54"
"28165489","The interrelated effect of sleep and learning in dogs (Canis familiaris); an EEG and behavioural study","Kis A, Szakadát S, Gácsi M, Kovács E, Simor P, Török C, Gombos F, Bódizs R, Topál J.","Sci Rep. 2017 Feb 6;7:41873. doi: 10.1038/srep41873.","Kis A","Sci Rep","2017","2017/02/07","PMC5292958","","10.1038/srep41873"
"27957536","Monkey vocal tracts are speech-ready","Fitch WT, de Boer B, Mathur N, Ghazanfar AA.","Sci Adv. 2016 Dec 9;2(12):e1600723. doi: 10.1126/sciadv.1600723. eCollection 2016 Dec.","Fitch WT","Sci Adv","2016","2016/12/14","PMC5148209","","10.1126/sciadv.1600723"
"28118481","Connectivity and ultrastructure of dopaminergic innervation of the inner ear and auditory efferent system of a vocal fish","Perelmuter JT, Forlano PM.","J Comp Neurol. 2017 Jun 15;525(9):2090-2108. doi: 10.1002/cne.24177. Epub 2017 Mar 26.","Perelmuter JT","J Comp Neurol","2017","2017/01/25","","","10.1002/cne.24177"
"27579491","Does the Structure of Female Rhesus Macaque Coo Calls Reflect Relatedness and/or Familiarity?","Pfefferle D, Hammerschmidt K, Mundry R, Ruiz-Lambides AV, Fischer J, Widdig A.","PLoS One. 2016 Aug 31;11(8):e0161133. doi: 10.1371/journal.pone.0161133. eCollection 2016.","Pfefferle D","PLoS One","2016","2016/09/01","PMC5007041","","10.1371/journal.pone.0161133"
"28695214","Response to Lieberman on ""Monkey vocal tracts are speech-ready""","Fitch WT, de Boer B, Mathur N, Ghazanfar AA.","Sci Adv. 2017 Jul 7;3(7):e1701859. doi: 10.1126/sciadv.1701859. eCollection 2017 Jul.","Fitch WT","Sci Adv","2017","2017/07/12","PMC5501503","","10.1126/sciadv.1701859"
"27086302","Comparing species decisions in a dichotomous choice task: adjusting task parameters improves performance in monkeys","Prétôt L, Bshary R, Brosnan SF.","Anim Cogn. 2016 Jul;19(4):819-34. doi: 10.1007/s10071-016-0981-6. Epub 2016 Apr 16.","Prétôt L","Anim Cogn","2016","2016/04/18","","","10.1007/s10071-016-0981-6"
"28373841","Brain Transcriptome Sequencing of a Natural Model of Alzheimer's Disease","Altimiras F, Uszczynska-Ratajczak B, Camara F, Vlasova A, Palumbo E, Newhouse S, Deacon RM, Farias LA, Hurley MJ, Loyola DE, Vásquez RA, Dobson R, Guigó R, Cogram P.","Front Aging Neurosci. 2017 Mar 20;9:64. doi: 10.3389/fnagi.2017.00064. eCollection 2017.","Altimiras F","Front Aging Neurosci","2017","2017/04/05","PMC5357652","","10.3389/fnagi.2017.00064"
